Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-04-03,5.255,5.3206,5.252046,5.2553,5.2553,0,5.255,5.3206,5.252046,5.2553,5.2553,0,72241.0,72241.0,67802.0,69538.0,69538.0,10411300,24.81,29.13,23.52,28.34,1010000.0,1635.3,1652.8,1624.4,1645.7,139610.0,9.47
2020-04-06,5.3404,5.3487,5.224,5.3485,5.3485,0,5.3404,5.3487,5.224,5.3485,5.3485,0,69556.0,75260.0,69556.0,74073.0,74073.0,9685400,26.09,28.24,25.28,26.08,752710.0,1647.7,1715.8,1638.2,1693.9,192750.0,10.15
2020-04-07,5.2849,5.2864,5.185842,5.2853,5.2853,0,5.2849,5.2864,5.185842,5.2853,5.2853,0,74078.0,79855.0,74078.0,76358.0,76358.0,11286500,26.34,27.24,23.54,23.63,797710.0,1707.1,1742.6,1672.0,1683.7,204500.0,10.95
2020-04-08,5.2216,5.2447,5.1613,5.2217,5.2217,0,5.2216,5.2447,5.1613,5.2217,5.2217,0,76335.0,79058.0,76115.0,78625.0,78625.0,10206300,24.3,26.45,23.74,25.09,823550.0,1678.7,1695.8,1670.7,1684.3,125330.0,11.99
2020-04-09,5.1218,5.1505,5.05,5.1235,5.1235,0,5.1218,5.1505,5.05,5.1235,5.1235,0,78640.0,80428.0,77457.0,77682.0,77682.0,10748700,26.28,28.36,22.57,22.76,1120000.0,1680.5,1754.5,1676.5,1752.8,218800.0,11.63
2020-04-13,5.1056,5.2039,5.1048,5.1055,5.1055,0,5.1056,5.2039,5.1048,5.1055,5.1055,0,77682.0,78836.0,76405.0,78836.0,78836.0,7651300,24.6,24.74,22.03,22.41,775120.0,1742.3,1772.8,1724.2,1761.4,166890.0,11.45
2020-04-14,5.1986,5.2085,5.071872,5.1985,5.1985,0,5.1986,5.2085,5.071872,5.1985,5.1985,0,78848.0,81668.0,78848.0,79918.0,79918.0,8593600,22.36,23.08,19.95,20.11,785480.0,1761.5,1788.8,1747.1,1768.9,241190.0,11.46
2020-04-15,5.160036,5.2644,5.159709,5.162,5.162,0,5.160036,5.2644,5.159709,5.162,5.162,0,79911.0,80035.0,77546.0,78831.0,78831.0,9758400,20.72,20.89,19.2,19.87,544800.0,1758.1,1759.8,1731.6,1740.2,186700.0,12.28
2020-04-16,5.2382,5.2603,5.2025,5.237,5.237,0,5.2382,5.2603,5.2025,5.237,5.237,0,78837.0,80167.0,77452.0,77812.0,77812.0,9028400,20.15,20.53,19.42,19.87,350940.0,1743.5,1768.0,1722.6,1731.7,204230.0,11.76
2020-04-17,5.2325,5.2721,5.1995,5.2309,5.2309,0,5.2325,5.2721,5.1995,5.2309,5.2309,0,77817.0,79846.0,77754.0,78990.0,78990.0,8317800,20.0,20.22,17.31,18.27,240630.0,1738.5,1738.8,1691.2,1698.8,227070.0,12.0
